year,price,engine_size,mileage,Diesel,Hybrid,otherFuel,Petrol,Automatic,Manual,otherTransmission,Semi-Auto
2018,19998,145.0,46.3,0,0,0,1,0,0,0,1
2018,20685,145.0,64.2,1,0,0,0,0,0,0,1
2018,20489,145.0,61.4,1,0,0,0,0,0,0,1
2017,13800,145.0,70.6,1,0,0,0,0,1,0,0
2019,31998,145.0,42.2,0,0,0,1,0,0,0,1
2019,29998,145.0,44.1,0,0,0,1,0,0,0,1
2019,24998,145.0,44.1,0,0,0,1,0,0,0,1
2019,32998,145.0,42.2,0,0,0,1,0,0,0,1
2019,32998,145.0,42.2,0,0,0,1,0,0,0,1
2019,29998,145.0,43.5,0,0,0,1,0,0,0,1
2017,23998,20.0,67.3,1,0,0,0,0,0,0,1
2016,20998,0.0,122.8,0,1,0,0,0,0,0,1
2017,16498,150.0,58.9,1,0,0,0,1,0,0,0
2013,11998,145.0,53.3,1,0,0,0,0,0,0,1
2015,12495,30.0,64.2,1,0,0,0,1,0,0,0
2019,19298,145.0,46.3,0,0,0,1,1,0,0,0
2019,23998,145.0,61.4,1,0,0,0,0,0,0,1
2015,12495,20.0,65.7,1,0,0,0,0,0,0,1
2015,17498,0.0,76.4,0,1,0,0,0,0,0,1
2016,16198,20.0,68.9,1,0,0,0,0,1,0,0
2017,18498,30.0,64.2,1,0,0,0,0,0,0,1
2019,24998,145.0,47.1,0,0,0,1,0,0,0,1
2019,24998,145.0,47.1,0,0,0,1,0,0,0,1
2019,21998,145.0,46.3,0,0,0,1,0,0,0,1
2018,29498,145.0,54.3,1,0,0,0,0,0,0,1
2018,29498,145.0,54.3,1,0,0,0,0,0,0,1
2016,16998,20.0,65.7,1,0,0,0,0,0,0,1
2019,33998,145.0,44.1,0,0,0,1,0,0,0,1
2019,32998,145.0,46.3,0,0,0,1,0,0,0,1
2017,18998,30.0,64.2,1,0,0,0,0,0,0,1
2019,32498,145.0,46.3,0,0,0,1,0,0,0,1
2017,25798,145.0,65.7,1,0,0,0,0,0,0,1
2018,20498,145.0,60.1,1,0,0,0,0,0,0,1
2017,18498,145.0,60.1,1,0,0,0,0,0,0,1
2016,14498,125.0,53.3,0,0,0,1,0,1,0,0
2019,29498,145.0,61.4,1,0,0,0,0,0,0,1
2017,17998,145.0,50.4,0,0,0,1,0,0,0,1
2015,13498,20.0,70.6,1,0,0,0,0,1,0,0
2016,19698,0.0,134.5,0,1,0,0,1,0,0,0
2017,22498,135.0,74.3,0,1,0,0,0,0,0,1
