,year,price,engine_size,mileage,Diesel,Hybrid,otherFuel,Petrol,Automatic,Manual,otherTransmission,Semi-Auto
163,2019,24998,145.0,47.1,0,0,0,1,0,0,0,1
164,2019,24998,145.0,47.1,0,0,0,1,0,0,0,1
165,2019,21998,145.0,46.3,0,0,0,1,0,0,0,1
166,2018,29498,145.0,54.3,1,0,0,0,0,0,0,1
167,2018,29498,145.0,54.3,1,0,0,0,0,0,0,1
168,2016,16998,20.0,65.7,1,0,0,0,0,0,0,1
169,2019,33998,145.0,44.1,0,0,0,1,0,0,0,1
170,2019,32998,145.0,46.3,0,0,0,1,0,0,0,1
171,2017,18998,30.0,64.2,1,0,0,0,0,0,0,1
172,2019,32498,145.0,46.3,0,0,0,1,0,0,0,1
173,2017,25798,145.0,65.7,1,0,0,0,0,0,0,1
174,2018,20498,145.0,60.1,1,0,0,0,0,0,0,1
175,2017,18498,145.0,60.1,1,0,0,0,0,0,0,1
176,2016,14498,125.0,53.3,0,0,0,1,0,1,0,0
177,2019,29498,145.0,61.4,1,0,0,0,0,0,0,1
178,2017,17998,145.0,50.4,0,0,0,1,0,0,0,1
179,2015,13498,20.0,70.6,1,0,0,0,0,1,0,0
180,2016,19698,0.0,134.5,0,1,0,0,1,0,0,0
181,2017,22498,135.0,74.3,0,1,0,0,0,0,0,1
182,2015,11998,20.0,72.4,1,0,0,0,0,1,0,0
183,2013,11998,160.0,44.8,0,0,0,1,0,0,0,1
184,2020,39998,2.0,217.3,0,1,0,0,0,0,0,1
185,2019,23498,150.0,61.4,1,0,0,0,0,0,0,1
186,2019,57998,145.0,28.5,0,0,0,1,0,0,0,1
187,2015,16315,30.0,64.2,1,0,0,0,0,0,0,1
188,2016,13991,30.0,64.2,1,0,0,0,0,0,0,1
189,2016,16998,30.0,64.2,1,0,0,0,0,0,0,1
190,2017,16498,2.1,29283.0,1,0,0,0,0,0,0,1
191,2016,16998,20.0,64.2,1,0,0,0,0,0,0,1
192,2016,13690,20.0,68.9,1,0,0,0,0,1,0,0
193,2014,14490,20.0,64.2,1,0,0,0,0,0,0,1
